"name","online_order","book_table","rate","votes","location","rest_type","dish_liked","cuisines","approx_cost.for.two.people.","listed_in.type.","listed_in.city."
"San Churro Cafe","Yes","No",3.8,918,"Banashankari","Cafe, Casual Dining","Churros","Cafe, Mexican, Italian","800","Cafes","Banashankari"
"Cafe Vivacity","Yes","No",3.8,90,"Banashankari","Cafe","Garlic Bread","Cafe","650","Cafes","Banashankari"
"Catch-up-ino","Yes","No",3.9,133,"Banashankari","Cafe","Momos","Cafe, Fast Food, Continental, Chinese, Momos","800","Cafes","Banashankari"
"Kirthi's Biryani","Yes","No",3.8,144,"Banashankari","Cafe","Pasta","Chinese, Cafe, Italian","700","Cafes","Banashankari"
"T3H Cafe","No","No",3.9,93,"Banashankari","Cafe","Cheese Maggi","Cafe, Italian, American","300","Cafes","Banashankari"
"The Vintage Cafe","Yes","No",3,62,"Banashankari","Cafe","Burgers","Cafe, French, North Indian","400","Cafes","Banashankari"
"Woodee Pizza","Yes","No",3.7,180,"Banashankari","Cafe","Pizza","Cafe, Pizza, Fast Food, Beverages","500","Cafes","Banashankari"
"My Tea House","Yes","No",3.6,62,"Banashankari","Quick Bites, Cafe","Pasta","Italian, Fast Food, Cafe, European","600","Cafes","Banashankari"
"Srinathji's Cafe","No","No",3.8,148,"Basavanagudi","Casual Dining, Cafe","Paratha","North Indian, Cafe, Chinese, Fast Food","550","Cafes","Banashankari"
"Redberrys","Yes","No",4,219,"Basavanagudi","Cafe","Pizza","Cafe, Italian","600","Cafes","Banashankari"
"Foodiction","Yes","No",2.8,506,"Banashankari","Quick Bites","Burgers","North Indian, Fast Food, Chinese, Burger","500","Delivery","Banashankari"
"Ovenstory Pizza","Yes","No",3.9,172,"Banashankari","Delivery","Paneer Tikka","Pizza","750","Delivery","Banashankari"
"Faasos","Yes","No",4.2,415,"Banashankari","Quick Bites","Rolls","North Indian, Biryani, Fast Food","500","Delivery","Banashankari"
"Behrouz Biryani","Yes","No",3.9,230,"Banashankari","Delivery","Raita","Biryani","650","Delivery","Banashankari"
"Szechuan Dragon","Yes","No",4.2,1647,"Banashankari","Casual Dining","Noodles","Chinese, Thai, Momos","600","Delivery","Banashankari"
"Empire Restaurant","Yes","No",4.4,4884,"Jayanagar","Casual Dining","Chicken Tikka Masala","North Indian, Mughlai, South Indian, Chinese","750","Delivery","Banashankari"
"Chaatimes","Yes","No",3.8,133,"Basavanagudi","Quick Bites","Dabeli","Street Food, Fast Food","200","Delivery","Banashankari"
"McDonald's","Yes","No",3.9,286,"Banashankari","Quick Bites","Burgers","Burger, Fast Food","500","Delivery","Banashankari"
"Domino's Pizza","Yes","No",3.9,540,"Banashankari","Quick Bites","Pane Pizza","Pizza, Fast Food","800","Delivery","Banashankari"
"Onesta","Yes","Yes",4.6,2556,"Banashankari","Casual Dining, Cafe","Farmhouse Pizza","Pizza, Cafe, Italian","600","Delivery","Banashankari"
"Hotboxit","No","No",3.8,36,"Banashankari","Delivery","Prompt Service","North Indian, Continental, Italian","400","Delivery","Banashankari"
"Kitchen Garden","Yes","No",3.6,244,"Kumaraswamy Layout","Quick Bites","Biryani","North Indian, Chinese","300","Delivery","Banashankari"
"Recipe","Yes","No",4,804,"Kumaraswamy Layout","Casual Dining","Butter Chicken","North Indian, Chinese, Biryani, Rolls","450","Delivery","Banashankari"
"Beijing Bites","Yes","No",3.7,679,"Rajarajeshwari Nagar","Casual Dining","Momos","Chinese, Thai","850","Delivery","Banashankari"
"Tasty Bytes","Yes","No",3.1,245,"Kumaraswamy Layout","Quick Bites","Paratha","North Indian, Chinese, Momos, Rolls","300","Delivery","Banashankari"
"Corner House Ice Cream","No","No",4.3,345,"Banashankari","Dessert Parlor","Hot Chocolate Fudge","Ice Cream, Desserts","400","Delivery","Banashankari"
"Biryanis And More","Yes","No",4,618,"Jayanagar","Casual Dining","Prawn Biryani","Biryani, North Indian, Chinese, Andhra, South Indian","750","Delivery","Banashankari"
"Roving Feast","No","No",4,1047,"Banashankari","Quick Bites","Pasta","Italian, Continental, Fast Food, Chinese, Momos","450","Delivery","Banashankari"
"FreshMenu","Yes","No",3.9,627,"Banashankari","Delivery","Salads","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","450","Delivery","Banashankari"
"Wamama","Yes","Yes",4.2,354,"Banashankari","Casual Dining","Sushi","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos","800","Delivery","Banashankari"
"Peppy Peppers","No","No",4.2,244,"Banashankari","Casual Dining","Pasta","Italian, North Indian, Mexican","800","Delivery","Banashankari"
"Goa 0 Km","Yes","Yes",3.6,163,"Kumaraswamy Layout","Casual Dining","Sea Food","Goan, Seafood, North Indian, Chinese, Biryani","800","Delivery","Banashankari"
"1947","No","Yes",4,808,"Banashankari","Casual Dining","Salads","North Indian, Chinese","850","Delivery","Banashankari"
"Kabab Magic","Yes","No",4.1,1720,"Basavanagudi","Quick Bites","Grape Juice","North Indian, Kebab, Chinese, Fast Food","400","Delivery","Banashankari"
"Gustoes Beer House","No","No",4.1,868,"Banashankari","Pub","Beer","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200","Delivery","Banashankari"
"The Biryani Cafe","No","No",4.1,520,"Banashankari","Quick Bites","Vegetable Biryani","Biryani, Chinese, Kebab","300","Delivery","Banashankari"
"Rolls On Wheels","No","No",3.6,299,"Banashankari","Quick Bites","Rolls","Fast Food, Rolls, Momos","300","Delivery","Banashankari"
"Sri Guru Kottureshwara Davangere Benne Dosa","Yes","No",4.1,558,"Basavanagudi","Quick Bites","Benne Dosa","South Indian","150","Delivery","Banashankari"
"Upahar Sagar","No","No",3.8,39,"Banashankari","Quick Bites","Masala Dosa","South Indian, Chinese, North Indian","350","Delivery","Banashankari"
"Frozen Bottle","Yes","No",4.2,146,"Banashankari","Beverage Shop","Berryblast","Beverages, Desserts, Ice Cream","400","Delivery","Banashankari"
"Meghana Foods","Yes","No",4.4,4401,"Jayanagar","Casual Dining","Chicken Boneless Biryani","Biryani, North Indian, Chinese","600","Delivery","Banashankari"
"Nandhini Deluxe","No","No",2.6,283,"Banashankari","Casual Dining","Biryani","North Indian","600","Delivery","Banashankari"
"Vi Ra's Bar and Restaurant","No","No",3.3,62,"Banashankari","Bar","Chilli Chicken","South Indian, North Indian, Chinese","800","Delivery","Banashankari"
"Chatar Patar","No","No",3.7,65,"Banashankari","Quick Bites","Panipuri","Fast Food, Street Food","300","Delivery","Banashankari"
"Polar Bear","Yes","No",3.8,71,"Basavanagudi","Dessert Parlor","Hot Chocolate Fudge","Ice Cream, Desserts, Beverages, Sandwich","400","Delivery","Banashankari"
"Kidambi's Kitchen","No","No",3.5,52,"Banashankari","Quick Bites","Rooftop Ambience","South Indian","300","Delivery","Banashankari"
"Mane Thindi","No","No",3.7,130,"Banashankari","Quick Bites","Coffee","South Indian","200","Delivery","Banashankari"
"Floured-Baked With Love","No","No",3.8,45,"Banashankari","Takeaway, Delivery","Cup Cake","Bakery","400","Delivery","Banashankari"
"Bengaluru Coffee House","Yes","No",4.1,201,"Banashankari","Quick Bites","Masala Dosa","South Indian, North Indian, Chinese, Street Food","300","Delivery","Banashankari"
"Anna Kuteera","Yes","No",4,771,"Banashankari","Casual Dining","Panner Tikka","South Indian, North Indian, Chinese","450","Delivery","Banashankari"
"Darbar","No","No",3,98,"Banashankari","Bar","Paneer Tikka","North Indian, Chinese","800","Delivery","Banashankari"
"Sri Udupi Food Hub","Yes","Yes",4.1,175,"Jayanagar","Casual Dining","Filter Coffee","South Indian, North Indian, Chinese, Beverages","500","Delivery","Banashankari"
"House Of Kebabs","Yes","No",3.8,540,"Basavanagudi","Casual Dining","Rolls","North Indian, Kebab, Biryani, Chinese","650","Delivery","Banashankari"
"Roll N Rock","Yes","No",3.8,124,"Kumaraswamy Layout","Quick Bites","Rolls","Chinese, North Indian, Mughlai, Rolls","400","Delivery","Banashankari"
"BOX8- Desi Meals","Yes","No",4.1,340,"Banashankari","Takeaway, Delivery","Paratha","North Indian, Mughlai, Fast Food","500","Delivery","Banashankari"
"KFC","Yes","No",3.8,505,"Banashankari","Quick Bites","Burgers","Burger, Fast Food","450","Delivery","Banashankari"
"Roll Over","Yes","No",4.1,438,"Jayanagar","Dessert Parlor","Rolls","Desserts, Ice Cream, Beverages, Fast Food, Sandwich","500","Delivery","Banashankari"
"Imperial Restaurant","Yes","No",3.7,264,"Mysore Road","Casual Dining","Kadhai Paneer","North Indian, Chinese, Biryani, Beverages","750","Delivery","Banashankari"
"Wahab","Yes","No",3.7,97,"Jayanagar","Quick Bites","Chicken Biryani","North Indian, Mughlai, Chinese","350","Delivery","Banashankari"
"Canton","Yes","No",3.6,195,"Jayanagar","Casual Dining","Roast Pork","Chinese, Seafood, Biryani","800","Delivery","Banashankari"
"The Blue Wagon - Kitchen","Yes","No",4.6,228,"Jayanagar","Cafe","Pizza","Cafe, Beverages","400","Delivery","Banashankari"
"Patio 805","Yes","Yes",4.1,364,"Jayanagar","Casual Dining","Noodles","Thai, Vietnamese, Asian, Chinese","1,200","Delivery","Banashankari"
"Lassi Corner","Yes","No",3.7,107,"Basavanagudi","Beverage Shop","Lassi","Beverages, Ice Cream","150","Delivery","Banashankari"
"Sagar Deluxe","Yes","No",3.2,167,"Kumaraswamy Layout","Quick Bites","Coffee","South Indian, North Indian, Chinese, Juices","300","Delivery","Banashankari"
"Energy Addaa","Yes","No",4.2,64,"Basavanagudi","Quick Bites","Pizza","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza","500","Delivery","Banashankari"
"Tandoori Knight","Yes","No",3,290,"Banashankari","Quick Bites","Chicken Grill","North Indian, Chinese, Biryani, Kebab","450","Delivery","Banashankari"
"Dev Sagar - Food Street","Yes","No",4.1,233,"Basavanagudi","Quick Bites","Chaat","Street Food","200","Delivery","Banashankari"
"Mitraa Da Pizza","Yes","No",3.8,115,"Kumaraswamy Layout","Quick Bites","Pizza","Fast Food, Pizza","250","Delivery","Banashankari"
"Grazers","Yes","Yes",3.9,291,"Jayanagar","Cafe","Burgers","Cafe, Burger, Continental, Italian, Desserts","650","Delivery","Banashankari"
"Shakes Theory","Yes","No",4.5,155,"Jayanagar","Beverage Shop","Sandwiches","Beverages, Sandwich","300","Delivery","Banashankari"
"@Italy","Yes","No",4.1,305,"Kumaraswamy Layout","Casual Dining","Pizza","Italian","700","Delivery","Banashankari"
"Old Mumbai Ice Cream","Yes","No",3.9,38,"Banashankari","Dessert Parlor","Friendly Staff","Ice Cream","150","Delivery","Banashankari"
"Donne Biriyani House","Yes","No",3.9,441,"Banashankari","Quick Bites","Biryani","South Indian, North Indian, Chinese, Biryani","400","Delivery","Banashankari"
"Kedia's Fun Food","Yes","No",4.3,630,"Jayanagar","Quick Bites","Paratha","North Indian, Street Food, Juices","200","Delivery","Banashankari"
"Just Shawarma","Yes","No",3.9,160,"Kumaraswamy Layout","Quick Bites","Whole Meat Shawarma","Arabian","300","Delivery","Banashankari"
"Mini Punjabi Dhaba","Yes","No",4.2,287,"Banashankari","Quick Bites","Panneer Butter Masala","North Indian","350","Delivery","Banashankari"
"CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley","Yes","No",4.1,402,"Banashankari","Cafe","Waffles","Cafe","500","Delivery","Banashankari"
"Gokul Veg","Yes","No",3.8,469,"Basavanagudi","Casual Dining","Masala Papad","North Indian, Chinese, Beverages","750","Delivery","Banashankari"
"Olive - Era","Yes","No",3.3,511,"Kumaraswamy Layout","Casual Dining","Shawarma","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts","550","Delivery","Banashankari"
"Gama Gama","Yes","No",3.9,264,"Banashankari","Quick Bites","Jowar Roti","South Indian","200","Delivery","Banashankari"
"The Vintage Cafe","Yes","No",3,62,"Banashankari","Cafe","Burgers","Cafe, French, North Indian","400","Delivery","Banashankari"
"Pizza Hut","Yes","No",3.8,693,"Banashankari","Casual Dining","Supreme Pizza","Pizza, Fast Food","750","Delivery","Banashankari"
"Mangalore Pearl","Yes","No",3.8,242,"Jayanagar","Casual Dining","Neer Dosa","Mangalorean, Seafood, Chinese, Biryani","650","Delivery","Banashankari"
"Twiststick House","Yes","No",4.1,163,"Basavanagudi","Quick Bites","White Pasta","Continental, Fast Food, Street Food, Momos","500","Delivery","Banashankari"
"Cool Corner","Yes","No",4.2,191,"Basavanagudi","Quick Bites","Masala Dosa","Street Food, Fast Food","250","Delivery","Banashankari"
"Pizza Mane","Yes","No",3.5,32,"Banashankari","Quick Bites","French Fries","Pizza, Sandwich, Burger, Fast Food","150","Delivery","Banashankari"
"Dal Tadkaa","Yes","No",2.5,247,"Banashankari","Casual Dining","Paratha","North Indian","500","Delivery","Banashankari"
"Chutney Chang","Yes","Yes",4.1,2339,"Jayanagar","Casual Dining","Veg Momos","North Indian, Chinese, BBQ","1,500","Delivery","Banashankari"
"Mystique Palate","Yes","No",4.1,337,"Jayanagar","Quick Bites","Noodles","Chinese, Fast Food","300","Delivery","Banashankari"
"Thamboola","Yes","No",3.9,135,"Banashankari","Casual Dining","Spring Roll","North Indian, Chinese, Continental","800","Delivery","Banashankari"
"Castle Rock","Yes","No",3.6,172,"Uttarahalli","Casual Dining","Biryani","North Indian, Chinese","700","Delivery","Banashankari"
"Vietnamese Kitchen","Yes","No",3.6,105,"Banashankari","Casual Dining","Pho","Vietnamese","700","Delivery","Banashankari"
"Smacznego","Yes","No",4.2,504,"Banashankari","Cafe","Waffles","Cafe, Mexican, Italian, Momos, Beverages","550","Delivery","Banashankari"
"Toscano","Yes","Yes",4.3,1129,"Jayanagar","Casual Dining","Pizza","Italian, Salad","1,300","Delivery","Banashankari"
"Stoned Monkey","Yes","No",4.3,860,"Banashankari","Dessert Parlor","Nachos","Desserts, Ice Cream","500","Delivery","Banashankari"
"Central Jail Restaurant","Yes","No",3.8,412,"Jayanagar","Casual Dining","Lime Soda","Andhra, Seafood, North Indian, Chinese","700","Delivery","Banashankari"
"Bella","Yes","Yes",3.9,142,"Jayanagar","Casual Dining","Murgh Ghee Roast","Mangalorean, Seafood, South Indian","1,000","Delivery","Banashankari"
"New Prashanth Hotel","Yes","No",3.6,143,"Jayanagar","Casual Dining","Ragi Mudde","South Indian, Biryani, Chinese, North Indian","750","Delivery","Banashankari"
"Karma Kaapi","Yes","No",4.4,181,"Jayanagar","Beverage Shop","Pasta","Beverages, Tea","250","Delivery","Banashankari"
"Tiwari's","Yes","No",3.8,70,"Jayanagar","Quick Bites","Sweet Lassi","North Indian, Street Food","200","Delivery","Banashankari"
"Pizza Stop","Yes","No",3.8,164,"Basavanagudi","Quick Bites","Pizza","Pizza, Italian","600","Delivery","Banashankari"
"Biggies Burger 'n' More","Yes","No",3.6,58,"Kumaraswamy Layout","Quick Bites","Burgers","Cafe, Burger, Beverages","650","Delivery","Banashankari"
"Srinathji's Cafe","No","No",3.8,148,"Basavanagudi","Casual Dining, Cafe","Paratha","North Indian, Cafe, Chinese, Fast Food","550","Delivery","Banashankari"
"Kollapuri's","No","No",3.9,206,"Basavanagudi","Quick Bites","Chicken Biryani","South Indian, Mangalorean","450","Delivery","Banashankari"
"RS Shiv Sagar","No","No",3.7,217,"Basavanagudi","Casual Dining","Chaat","North Indian, Chinese, South Indian, Fast Food, Juices","450","Delivery","Banashankari"
"Harshi Super Sandwich","No","No",3.8,148,"Basavanagudi","Quick Bites","Sandwiches","Fast Food, Street Food","150","Delivery","Banashankari"
"Ugadi","Yes","No",2.9,177,"Jayanagar","Casual Dining","Prawn Biryani","North Indian, Chinese, Biryani, Andhra, Mangalorean","700","Delivery","Banashankari"
"Subway","Yes","No",3.7,136,"Banashankari","Quick Bites","Veggie Delight","Salad, Fast Food","600","Delivery","Banashankari"
"The Lassi Park","Yes","No",4.1,185,"Jayanagar","Quick Bites","Faluda","Juices, Desserts","200","Delivery","Banashankari"
"A2B - Adyar Ananda Bhavan","Yes","No",3.8,155,"Mysore Road","Casual Dining","Pav Bhaji","South Indian, North Indian, Chinese, Street Food","400","Delivery","Banashankari"
"Srikrishna Bhavan","Yes","No",3.8,42,"Banashankari","Quick Bites","Roti","South Indian, North Indian, Chinese","300","Delivery","Banashankari"
"Timepass Dinner","Yes","No",3.8,286,"Basavanagudi","Casual Dining","Onion Rings","North Indian","600","Delivery","Banashankari"
"Green Gardenia","Yes","No",3.8,160,"Banashankari","Casual Dining","Masala Papad","North Indian, Chinese","700","Delivery","Banashankari"
"J Spice","Yes","No",3.8,59,"Banashankari","Casual Dining","Stuffed Mushroom","North Indian, Chinese","750","Delivery","Banashankari"
"Hatti Kaapi","Yes","No",4,89,"Jayanagar","Quick Bites","Filter Coffee","South Indian, Beverages","200","Delivery","Banashankari"
"Upahara Darshini","Yes","No",3.9,40,"Basavanagudi","Casual Dining","Masala Dosa","North Indian, Chinese, South Indian, Fast Food","600","Delivery","Banashankari"
"The Chaat Shop","Yes","No",2.5,35,"Basavanagudi","Quick Bites","Badam Milk","Fast Food","200","Delivery","Banashankari"
"My Tea House","Yes","No",3.6,62,"Banashankari","Quick Bites, Cafe","Pasta","Italian, Fast Food, Cafe, European","600","Delivery","Banashankari"
"Samskruti - Sanman Gardenia","Yes","No",4.1,139,"Jayanagar","Casual Dining","Roti","North Indian, Chinese, South Indian","550","Delivery","Banashankari"
"Chumma Delicious","Yes","No",3.7,237,"Banashankari","Quick Bites","Chicken Biryani","South Indian, Fast Food","200","Delivery","Banashankari"
"New Prashanth Hotel","Yes","No",3.9,388,"Banashankari","Casual Dining","Chicken Biryani","Biryani, North Indian, Seafood, Andhra","650","Delivery","Banashankari"
"Dwaraka Grand","Yes","No",3.9,128,"Kumaraswamy Layout","Casual Dining","Masala Dosa","South Indian, Chinese, Street Food, Juices","500","Delivery","Banashankari"
"Gufha - The President Hotel","Yes","Yes",4.1,1875,"Jayanagar","Casual Dining","Cocktails","North Indian, Afghani, Mughlai","1,200","Delivery","Banashankari"
"Cafe Vivacity","Yes","No",3.8,90,"Banashankari","Cafe","Garlic Bread","Cafe","650","Delivery","Banashankari"
"Mojo Pizza - 2X Toppings","Yes","No",4.2,179,"Banashankari","Delivery","Veggie Pizza","Pizza","600","Delivery","Banashankari"
"South Kitchen","Yes","No",4.3,275,"Basavanagudi","Quick Bites","Kharabath","South Indian","100","Delivery","Banashankari"
"Chung Wah","Yes","No",3.7,323,"Jayanagar","Casual Dining","Noodles","Chinese, Thai, Momos","850","Delivery","Banashankari"
"Prems Graama Bhojanam","Yes","No",4.3,322,"Jayanagar","Casual Dining","Veg Thali","South Indian","400","Delivery","Banashankari"
"Java City","Yes","No",2.6,157,"Jayanagar","Cafe","Coffee","Cafe, American, Pizza","450","Delivery","Banashankari"
"Kamat Bugle Rock","Yes","No",3.9,543,"Basavanagudi","Quick Bites","Jowar Roti","South Indian, Fast Food","300","Delivery","Banashankari"
"Woodee Pizza","Yes","No",3.7,180,"Banashankari","Cafe","Pizza","Cafe, Pizza, Fast Food, Beverages","500","Delivery","Banashankari"
"Puliyogare Point","Yes","No",4.2,444,"Basavanagudi","Quick Bites","Sweet Pongal","South Indian","100","Delivery","Banashankari"
"Bangalore Agarwal Bhavan","Yes","No",3.9,134,"Jayanagar","Quick Bites","Paratha","Street Food, North Indian, South Indian","400","Delivery","Banashankari"
"Rustic Stove","Yes","No",3.8,577,"Jayanagar","Casual Dining","Vegetable Biryani","North Indian, South Indian, Biryani, Beverages","900","Delivery","Banashankari"
"De Thaali","Yes","No",3.9,144,"Jayanagar","Casual Dining","Malai Kofta","North Indian, Chinese, Rolls","550","Delivery","Banashankari"
"Spice Elephant","Yes","No",4.1,787,"Banashankari","Casual Dining","Momos","Chinese, North Indian, Thai","800","Delivery","Banashankari"
"Matru Sagar","Yes","No",3.6,84,"Banashankari","Quick Bites","Coffee","South Indian, North Indian, Chinese","250","Delivery","Banashankari"
"Sea Spice by 7 Star","Yes","Yes",4,349,"Banashankari","Casual Dining","Sea Food","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200","Delivery","Banashankari"
"Desi Dawat","Yes","No",3.7,248,"Kumaraswamy Layout","Quick Bites","Tandoori Chicken","North Indian, Fast Food","400","Delivery","Banashankari"
"Cafe Aira","Yes","No",4.1,216,"Basavanagudi","Cafe","Pasta","Cafe, Continental, Beverages, Desserts","500","Delivery","Banashankari"
"Penthouse Cafe","Yes","No",4,324,"Banashankari","Cafe","Pizza","Cafe, Italian, Continental","700","Delivery","Banashankari"
"Mast Punjabi","Yes","No",2.6,231,"Kumaraswamy Layout","Quick Bites","Aloo Paratha","North Indian, Chinese, Rolls, Biryani, Kebab","400","Delivery","Banashankari"
"South Grand","Yes","No",3.4,102,"Uttarahalli","Casual Dining","Rava Dosa","South Indian, North Indian, Chinese, Beverages","400","Delivery","Banashankari"
"Catch-up-ino","Yes","No",3.9,133,"Banashankari","Cafe","Momos","Cafe, Fast Food, Continental, Chinese, Momos","800","Delivery","Banashankari"
"The Pizzeria","Yes","No",2.8,45,"Banashankari","Casual Dining","Pesto Pizza","Pizza, Italian, Salad","800","Delivery","Banashankari"
"Ruchis Point","Yes","No",3.8,75,"Banashankari","Quick Bites","Sandwiches","Fast Food, Chinese","200","Delivery","Banashankari"
"Firangi Bake","Yes","No",4,53,"Rajarajeshwari Nagar","Delivery","Lasagne","Mexican, Italian","600","Delivery","Banashankari"
"The Royal Corner - Pai Viceroy","Yes","Yes",4.2,815,"Jayanagar","Casual Dining","Breakfast Buffet","North Indian, Chinese","900","Delivery","Banashankari"
"Hara Fine Dine","Yes","Yes",4,633,"Banashankari","Casual Dining","Hara Bhara Kabab","North Indian, Chinese","800","Delivery","Banashankari"
"Chocoberry","Yes","No",3.5,56,"Jayanagar","Dessert Parlor","Waffles","Ice Cream, Desserts, Beverages","400","Delivery","Banashankari"
"Waffle-A-Go Go","Yes","No",3.9,70,"Banashankari","Dessert Parlor","Waffles","Fast Food, Desserts, Ice Cream","400","Delivery","Banashankari"
"Cross Road Cafe","Yes","No",3.9,91,"Jayanagar","Cafe","Momos","Cafe, Fast Food, Chinese","300","Delivery","Banashankari"
"Bakers Town","Yes","No",3.8,77,"Kumaraswamy Layout","Cafe","Freak Shake","Cafe, Continental, Fast Food","650","Delivery","Banashankari"
"Ivy","Yes","No",3.8,210,"Kumaraswamy Layout","Casual Dining","Butter Chicken","North Indian, Chinese, Fast Food","600","Delivery","Banashankari"
"The Airos","Yes","No",4.1,130,"Jayanagar","Cafe","Pizza","Cafe, Italian, Pizza","650","Delivery","Banashankari"
"Chai Kraft","Yes","No",4.1,30,"Jayanagar","Beverage Shop","Masala Chai","Beverages, Tea","100","Delivery","Banashankari"
"Kirthi's Biryani","Yes","No",3.8,144,"Banashankari","Cafe","Pasta","Chinese, Cafe, Italian","700","Delivery","Banashankari"
"The Trundle","Yes","No",3.7,133,"Jayanagar","Casual Dining","Salad","Chinese, Thai, Continental, North Indian","700","Delivery","Banashankari"
"The Krishna Grand Xpress","Yes","No",4,136,"Jayanagar","Quick Bites","Vada","South Indian, Fast Food","350","Delivery","Banashankari"
"Udupi Grand","Yes","No",3.8,74,"Basavanagudi","Quick Bites","Coffee","South Indian, North Indian, Chinese","300","Delivery","Banashankari"
"Little Cafe","Yes","No",3.7,54,"Basavanagudi","Cafe","Pasta","Cafe, Beverages","600","Delivery","Banashankari"
"1980s Games Cafe","Yes","No",3.4,58,"Basavanagudi","Cafe","Maggi","Cafe, Fast Food","400","Delivery","Banashankari"
"Kadala Tarangaa","Yes","No",3.6,129,"Banashankari","Casual Dining","Sea Food","Mangalorean, Seafood, North Indian","600","Delivery","Banashankari"
"As On Fire","Yes","No",3.5,41,"South Bangalore","Food Truck","Pizza","Pizza, Fast Food, BBQ","400","Delivery","Banashankari"
"Curry Leaves","Yes","No",4.1,176,"Basavanagudi","Casual Dining","Brownie","Andhra, North Indian, Chinese","800","Delivery","Banashankari"
"Magic Meals","Yes","No",3.7,47,"Jayanagar","Quick Bites, Dessert Parlor","Biryani","Fast Food, Desserts, Beverages","400","Delivery","Banashankari"
"Desi Cream Junction","Yes","Yes",3.7,36,"Jayanagar","Casual Dining","Vegetarian","Chinese, North Indian, Pizza, Italian","650","Delivery","Banashankari"
"Eat Repeat","Yes","No",3.9,101,"Basavanagudi","Quick Bites","Sweet Pongal","South Indian","150","Delivery","Banashankari"
"Salut","Yes","Yes",4.1,442,"Jayanagar","Pub, Casual Dining","Pesto Pizza","Continental, Finger Food, Seafood, Pizza","1,200","Delivery","Banashankari"
"Sandwich Mama's And Frozen Monster","Yes","No",3.8,53,"Jayanagar","Quick Bites","Waffles","Ice Cream, Beverages, Fast Food","250","Delivery","Banashankari"
"Food Springs","Yes","No",4,232,"Jayanagar","Quick Bites","Honey Chilli Potatoes","South Indian, Chinese","400","Delivery","Banashankari"
"Chung's Chinese Corner","Yes","No",3.9,221,"Jayanagar","Casual Dining","Manchow Soup","Chinese","700","Delivery","Banashankari"
"Eurasia Pasta and Barbeque by Little Italy","Yes","Yes",4.1,1063,"Jayanagar","Casual Dining, Bar","Pasta","Italian, Fast Food, Salad, BBQ","1,200","Delivery","Banashankari"
"Goli Vada Pav No. 1","Yes","No",3.7,93,"Basavanagudi","Quick Bites","Masala Vada Pav","Street Food","200","Delivery","Banashankari"
"Ragoo's","Yes","No",3.9,233,"Jayanagar","Casual Dining","Corn Augratin","Italian, Pizza, North Indian, Salad","800","Delivery","Banashankari"
"Pure & Natural","Yes","No",3.9,211,"Jayanagar","Casual Dining","Salads","Fast Food, Continental, Beverages, Salad, Healthy Food","500","Delivery","Banashankari"
"Maiyas","Yes","No",4,1778,"Jayanagar","Quick Bites","Coffee","North Indian, South Indian, Fast Food, Juices","200","Delivery","Banashankari"
